,equal,market_cap,markowitz,black_litterman
2021-01-01,1.0,1.0,1.0,1.0
2021-04-01,1.0708550351490427,1.0485997777591798,1.1044597023297258,1.0263630106273498
2021-07-01,1.3000325336982406,1.2506608881037804,1.7732605535125732,1.354534205156015
2021-10-01,1.2603266774501383,1.15264163570915,1.5589927014670037,1.2180086465803717
2022-01-01,1.3863436159536415,1.2371750749050017,1.6651205929237811,1.3296779592979768
2022-04-01,1.3671331371586084,1.1952756984829007,1.497634505633238,1.281818826082851
2022-07-01,1.1167025814604215,0.9896018469038024,1.1636642359618021,1.082422972451158
2022-10-01,1.0466513729032147,0.9245078953598529,1.155207857760365,1.0120211601618643
2023-01-01,0.9722557227525995,0.8694175095930148,0.5714629062518817,0.9828865525517338
2023-04-01,1.0086203971537229,0.9005002171849822,0.5629411948102654,1.0138784433758106
2023-07-01,1.0463227645736954,0.9120963999178847,0.5798117886121863,1.0173625755062519
2023-10-01,1.0889239653493041,0.9315024899102556,0.5756291344505775,1.0425208096133323
2024-01-01,1.0577052622882446,0.899712107362295,0.5561226827752636,0.9920414627801408
2024-04-01,1.2030809638447864,1.0296015365530957,0.6671015824102976,1.1358873387511066
2024-07-01,1.1907597350404877,0.9874539929927305,0.7651981411163564,1.1288956828066699
2024-10-01,1.2542814576835266,1.0499851272171958,0.7998413851713475,1.1888370358125577
2025-01-01,1.220289949120322,1.021752562645247,0.8877681466950343,1.192999034636165
2025-04-01,1.2706423265572586,1.0629703253699212,0.7343166722120823,1.1496949456037775
2025-07-01,1.3298372841407866,1.1216336680188386,0.7521587555576729,1.1991327561073668
2025-10-01,1.6355610062294752,1.3958257339858862,1.0874344898607096,1.6097630882751164
2026-01-01,1.696962885640742,1.5908057540314253,1.3731195362663415,2.213169479149788
2026-04-01,1.607808585722602,1.447323885850295,1.200924531736992,1.8785672339472632
2026-07-01,1.6978124584907734,1.6863536668955974,1.7177696683163546,2.3954039868190886
