,equal,market_cap,markowitz,black_litterman
2021-01-01,1.0,1.0,1.0,1.0
2021-04-01,1.0708550351490427,1.0486024265366756,1.1044597023297258,1.0263665469528043
2021-07-01,1.3000325336982406,1.2506575614765796,1.7732605535125732,1.3545331080928187
2021-10-01,1.2603266774501383,1.1526813787197996,1.5589927014670037,1.2180468947056264
2022-01-01,1.3863436159536415,1.2372181174500272,1.6651205929237811,1.3297201216259003
2022-04-01,1.3671331371586084,1.1953313381376374,1.497634505633238,1.2818715052449694
2022-07-01,1.1167025814604215,0.9896630638931972,1.1636642359618021,1.0824720159661205
2022-10-01,1.0466513729032147,0.9245613255113991,1.155207857760365,1.0120697740373388
2023-01-01,0.9722557227525995,0.8694371225977501,0.5714629062518817,0.9828733697487765
2023-04-01,1.0086203971537229,0.900505037787794,0.5629411948102654,1.0138566097656914
2023-07-01,1.0463227645736954,0.9121092322405899,0.5798117886121863,1.017352800461699
2023-10-01,1.0889239653493041,0.9315349743084387,0.5756291344505775,1.04253952145069
2024-01-01,1.0577052622882446,0.8997383990611076,0.5561226827752636,0.9920411901944389
2024-04-01,1.2030809638447864,1.029508512364537,0.6671015824102976,1.1357723783163651
2024-07-01,1.1907597350404877,0.9874414674532241,0.7651981411163564,1.12886020907314
2024-10-01,1.2542814576835266,1.0498720146498737,0.7998413851713475,1.1887138515780926
2025-01-01,1.220289949120322,1.0215715342168379,0.8877681466950343,1.1929006820351884
2025-04-01,1.2706423265572586,1.0631482526426346,0.7343166722120823,1.1498742018485453
2025-07-01,1.3298372841407866,1.1218603499039859,0.7521587555576729,1.1993258487549694
2025-10-01,1.6355610062294752,1.3965193031481686,1.0874344898607096,1.6104002458923345
2026-01-01,1.696962885640742,1.5911499043441997,1.3731195362663415,2.21403310463846
2026-04-01,1.607808585722602,1.4477794833241608,1.200924531736992,1.8793044345524823
2026-07-01,1.6978124584907734,1.6862310135980665,1.7177696683163546,2.3963411115002877
