,CAGR,Volatility,Sharpe,Max Drawdown,Calmar
equal,0.10102740838333224,0.18452223188381575,0.42367143247089006,-0.29869066257155746,0.33823423709848666
market_cap,0.0996725718411029,0.20515943426040625,0.392362985790174,-0.304833534123544,0.32697377645041914
markowitz,0.10336930076968076,0.48358951483069224,0.364406986012609,-0.6863841122086289,0.15059978652049755
black_litterman,0.1721358734763052,0.3035548243346664,0.5473052552884774,-0.2743730288903814,0.6273789890079816
