,equal,market_cap,markowitz,black_litterman
2021-01-01,0.03448275862068965,0.066065759643019,0.22588220798040334,0.0837547991704831
2021-04-01,0.03333333333333333,0.0639697864608402,0.4205363917945104,0.10445686321912344
2021-07-01,0.03333333333333333,0.06049312475500078,0.3371863113796886,0.125538704562272
2021-10-01,0.03333333333333333,0.0510693481462829,0.3463884351151219,0.06003838980039646
2022-01-01,0.03333333333333333,0.05027742771284058,0.3013209526876184,0.08091608772504451
2022-04-01,0.03333333333333333,0.04897357641496949,0.1855820479221311,0.06943245209998732
2022-07-01,0.03333333333333333,0.051220551085784154,0.2790472480762744,0.07905087389081616
2022-10-01,0.03333333333333333,0.05010634404221547,0.3231121366573478,0.07653696620266597
2023-01-01,0.03333333333333333,0.05697085089314483,1.0,0.09858480665861202
2023-04-01,0.03333333333333333,0.0569009679569586,0.43748390651791275,0.06650698328980713
2023-07-01,0.03333333333333333,0.05762016086048472,0.4919925468551183,0.07789291328760886
2023-10-01,0.03333333333333333,0.055820067876997975,0.3205919405958647,0.07472704363339228
2024-01-01,0.03333333333333333,0.054682541828219786,0.7349049265071835,0.06212038699977296
2024-04-01,0.03333333333333333,0.056050674399772286,0.5363302125048458,0.07346072765786153
2024-07-01,0.03333333333333333,0.05287303776961653,0.9088363997780389,0.2202447372220649
2024-10-01,0.03333333333333333,0.05361732966524008,0.5583702177697342,0.08777155036142092
2025-01-01,0.03333333333333333,0.05405567796179447,0.5308358572305225,0.13074335118133842
2025-04-01,0.03333333333333333,0.053722701812440314,0.3835103600495046,0.1892228224026671
2025-07-01,0.03333333333333333,0.05312479172073736,0.4750221429860515,0.09823722415855869
2025-10-01,0.03333333333333333,0.05805234389737488,0.501973825401855,0.16832483254143377
2026-01-01,0.03333333333333333,0.08454833632285907,0.4980236918108877,0.41271864031887046
2026-04-01,0.03448275862068965,0.07560571425850936,0.4349228269350979,0.24362090390150237
